Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
 -> Total,261084762,29185400,3816110,3404002,29495233,154575196,40608821
 -> Total -> Total Alabama,3885288,711377,55945,42418,169522,2249413,656613
White only,2734389,455735,35392,16634,115385,1649201,462042
Black only,1005688,233990,20553,16080,32706,533141,169218
"American Indian, Alaskan Native Only",45520,0,0,0,8394,23069,14057
Asian only,55519,19671,0,0,10629,21310,3909
Hawaiian/Pacific Islander Only,1981,1981,0,0,0,0,0
White-Black,10806,0,0,0,0,5481,5325
White-AI,24074,0,0,7101,2408,12503,2062
White-Asian,2603,0,0,2603,0,0,0
White-HP,0,0,0,0,0,0,0
Black-AI,4708,0,0,0,0,4708,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Alaska,543205,55502,11190,20302,27033,329085,100093
White only,354822,40079,8794,4985,11111,242943,46910
Black only,18143,1628,0,821,1738,8370,5586
"American Indian, Alaskan Native Only",95429,11555,557,9207,2991,39500,31619
Asian only,35453,0,1839,2237,9052,16750,5575
Hawaiian/Pacific Islander Only,5366,0,0,0,0,4497,869
White-Black,651,0,0,0,651,0,0
White-AI,21305,1567,0,3052,0,10093,6593
White-Asian,5657,0,0,0,0,4492,1165
White-HP,1996,0,0,0,643,1353,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,1571,673,0,0,0,0,898
AI-HP,0,0,0,0,0,0,0
Asian-HP,576,0,0,0,0,576,0
W-B-AI,878,0,0,0,0,0,878
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,1358,0,0,0,847,511,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
